,id,date,team1,team2,toss_winner,winner,inning,over,batting_team,bowling_team,field,D/L,eliminator?,total_runs_y,cum_total,cum_wicket
126,1254058,2021-04-09,12,5,5,5,2,0.3,5,12,1,0,0,160,5,0
127,1254058,2021-04-09,12,5,5,5,2,0.4,5,12,1,0,0,160,5,0
128,1254058,2021-04-09,12,5,5,5,2,0.5,5,12,1,0,0,160,6,0
129,1254058,2021-04-09,12,5,5,5,2,0.6,5,12,1,0,0,160,10,0
130,1254058,2021-04-09,12,5,5,5,2,0.7,5,12,1,0,0,160,10,0
131,1254058,2021-04-09,12,5,5,5,2,1.1,5,12,1,0,0,160,12,0
132,1254058,2021-04-09,12,5,5,5,2,1.2,5,12,1,0,0,160,12,0
133,1254058,2021-04-09,12,5,5,5,2,1.3,5,12,1,0,0,160,12,0
134,1254058,2021-04-09,12,5,5,5,2,1.4,5,12,1,0,0,160,14,0
135,1254058,2021-04-09,12,5,5,5,2,1.5,5,12,1,0,0,160,15,0
136,1254058,2021-04-09,12,5,5,5,2,1.6,5,12,1,0,0,160,15,0
137,1254058,2021-04-09,12,5,5,5,2,2.1,5,12,1,0,0,160,16,0
138,1254058,2021-04-09,12,5,5,5,2,2.2,5,12,1,0,0,160,20,0
139,1254058,2021-04-09,12,5,5,5,2,2.3,5,12,1,0,0,160,20,0
140,1254058,2021-04-09,12,5,5,5,2,2.4,5,12,1,0,0,160,21,0
141,1254058,2021-04-09,12,5,5,5,2,2.5,5,12,1,0,0,160,21,0
142,1254058,2021-04-09,12,5,5,5,2,2.6,5,12,1,0,0,160,21,0
143,1254058,2021-04-09,12,5,5,5,2,3.1,5,12,1,0,0,160,25,0
144,1254058,2021-04-09,12,5,5,5,2,3.2,5,12,1,0,0,160,26,0
145,1254058,2021-04-09,12,5,5,5,2,3.3,5,12,1,0,0,160,26,0
146,1254058,2021-04-09,12,5,5,5,2,3.4,5,12,1,0,0,160,28,0
147,1254058,2021-04-09,12,5,5,5,2,3.5,5,12,1,0,0,160,32,0
148,1254058,2021-04-09,12,5,5,5,2,3.6,5,12,1,0,0,160,33,0
149,1254058,2021-04-09,12,5,5,5,2,3.7,5,12,1,0,0,160,35,0
150,1254058,2021-04-09,12,5,5,5,2,4.1,5,12,1,0,0,160,36,0
151,1254058,2021-04-09,12,5,5,5,2,4.2,5,12,1,0,0,160,36,1
152,1254058,2021-04-09,12,5,5,5,2,4.3,5,12,1,0,0,160,37,1
153,1254058,2021-04-09,12,5,5,5,2,4.4,5,12,1,0,0,160,38,1
154,1254058,2021-04-09,12,5,5,5,2,4.5,5,12,1,0,0,160,40,1
155,1254058,2021-04-09,12,5,5,5,2,4.6,5,12,1,0,0,160,41,1
156,1254058,2021-04-09,12,5,5,5,2,5.1,5,12,1,0,0,160,45,1
157,1254058,2021-04-09,12,5,5,5,2,5.2,5,12,1,0,0,160,45,1
158,1254058,2021-04-09,12,5,5,5,2,5.3,5,12,1,0,0,160,45,1
159,1254058,2021-04-09,12,5,5,5,2,5.4,5,12,1,0,0,160,46,1
160,1254058,2021-04-09,12,5,5,5,2,5.5,5,12,1,0,0,160,46,1
161,1254058,2021-04-09,12,5,5,5,2,5.6,5,12,1,0,0,160,46,2
162,1254058,2021-04-09,12,5,5,5,2,5.7,5,12,1,0,0,160,46,2
163,1254058,2021-04-09,12,5,5,5,2,6.1,5,12,1,0,0,160,46,2
164,1254058,2021-04-09,12,5,5,5,2,6.2,5,12,1,0,0,160,46,2
165,1254058,2021-04-09,12,5,5,5,2,6.3,5,12,1,0,0,160,48,2
166,1254058,2021-04-09,12,5,5,5,2,6.4,5,12,1,0,0,160,48,2
167,1254058,2021-04-09,12,5,5,5,2,6.5,5,12,1,0,0,160,49,2
168,1254058,2021-04-09,12,5,5,5,2,6.6,5,12,1,0,0,160,50,2
169,1254058,2021-04-09,12,5,5,5,2,7.1,5,12,1,0,0,160,54,2
170,1254058,2021-04-09,12,5,5,5,2,7.2,5,12,1,0,0,160,55,2
171,1254058,2021-04-09,12,5,5,5,2,7.3,5,12,1,0,0,160,58,2
172,1254058,2021-04-09,12,5,5,5,2,7.4,5,12,1,0,0,160,58,2
173,1254058,2021-04-09,12,5,5,5,2,7.5,5,12,1,0,0,160,62,2
174,1254058,2021-04-09,12,5,5,5,2,7.6,5,12,1,0,0,160,63,2
175,1254058,2021-04-09,12,5,5,5,2,8.1,5,12,1,0,0,160,63,2
176,1254058,2021-04-09,12,5,5,5,2,8.2,5,12,1,0,0,160,63,2
177,1254058,2021-04-09,12,5,5,5,2,8.3,5,12,1,0,0,160,63,2
178,1254058,2021-04-09,12,5,5,5,2,8.4,5,12,1,0,0,160,64,2
179,1254058,2021-04-09,12,5,5,5,2,8.5,5,12,1,0,0,160,65,2
180,1254058,2021-04-09,12,5,5,5,2,8.6,5,12,1,0,0,160,69,2
181,1254058,2021-04-09,12,5,5,5,2,9.1,5,12,1,0,0,160,69,2
182,1254058,2021-04-09,12,5,5,5,2,9.2,5,12,1,0,0,160,70,2
183,1254058,2021-04-09,12,5,5,5,2,9.3,5,12,1,0,0,160,71,2
184,1254058,2021-04-09,12,5,5,5,2,9.4,5,12,1,0,0,160,72,2
185,1254058,2021-04-09,12,5,5,5,2,9.5,5,12,1,0,0,160,73,2
186,1254058,2021-04-09,12,5,5,5,2,9.6,5,12,1,0,0,160,73,2
187,1254058,2021-04-09,12,5,5,5,2,9.7,5,12,1,0,0,160,74,2
188,1254058,2021-04-09,12,5,5,5,2,9.8,5,12,1,0,0,160,75,2
189,1254058,2021-04-09,12,5,5,5,2,10.1,5,12,1,0,0,160,81,2
190,1254058,2021-04-09,12,5,5,5,2,10.2,5,12,1,0,0,160,82,2
191,1254058,2021-04-09,12,5,5,5,2,10.3,5,12,1,0,0,160,82,2
192,1254058,2021-04-09,12,5,5,5,2,10.4,5,12,1,0,0,160,82,2
193,1254058,2021-04-09,12,5,5,5,2,10.5,5,12,1,0,0,160,83,2
194,1254058,2021-04-09,12,5,5,5,2,10.6,5,12,1,0,0,160,84,2
195,1254058,2021-04-09,12,5,5,5,2,11.1,5,12,1,0,0,160,90,2
196,1254058,2021-04-09,12,5,5,5,2,11.2,5,12,1,0,0,160,91,2
197,1254058,2021-04-09,12,5,5,5,2,11.3,5,12,1,0,0,160,93,2
198,1254058,2021-04-09,12,5,5,5,2,11.4,5,12,1,0,0,160,93,2
199,1254058,2021-04-09,12,5,5,5,2,11.5,5,12,1,0,0,160,94,2
200,1254058,2021-04-09,12,5,5,5,2,11.6,5,12,1,0,0,160,95,2
201,1254058,2021-04-09,12,5,5,5,2,12.1,5,12,1,0,0,160,97,2
202,1254058,2021-04-09,12,5,5,5,2,12.2,5,12,1,0,0,160,98,2
203,1254058,2021-04-09,12,5,5,5,2,12.3,5,12,1,0,0,160,98,3
204,1254058,2021-04-09,12,5,5,5,2,12.4,5,12,1,0,0,160,98,3
205,1254058,2021-04-09,12,5,5,5,2,12.5,5,12,1,0,0,160,99,3
206,1254058,2021-04-09,12,5,5,5,2,12.6,5,12,1,0,0,160,99,3
207,1254058,2021-04-09,12,5,5,5,2,13.1,5,12,1,0,0,160,99,3
208,1254058,2021-04-09,12,5,5,5,2,13.2,5,12,1,0,0,160,100,3
209,1254058,2021-04-09,12,5,5,5,2,13.3,5,12,1,0,0,160,101,3
